id,term,originalHeadword,type,sourceGroup,meaning,partOfSpeech,pattern,example,collocation,commonMistake,synonymOrContrast,register,pronunciation,category,level,senseId
v0016,administration,,academic/professional word,AWL-derived core,a method of managing the affairs of an organization,noun,administration of + organization/program,"The school administration approved the revised safety plan, so the class could connect the idea to the next activity.",school administration; public administration,Check whether administration is countable in this meaning before adding “a” or a plural ending.,"administration means a method of managing the affairs of an organization. By contrast, method means a way of doing something.",academic and professional; also useful in formal explanations,"IPA (stress shown separately): /ædmɪnɪstreɪʃən/ Stress syllable 4 of 5. Use a clear /ʃ/ “sh” sound. Keep /ɪ/ short and relaxed, as in sit. Keep the final /n/ audible.",STEM and technology,B2,v0016-s1
v0017,adult,adults,academic/professional word,AWL-derived core,people or living things that are fully grown or developed,noun,plural noun: adult + plural verb,"The survey included both teenagers and adults, so the reader could understand the intended relationship without guessing.",young adult; adult learners,Check whether adult is countable in this meaning before adding “a” or a plural ending.,"adult means people or living things that are fully grown or developed. By contrast, series means a sequence of similar or related things.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ædəlt/ Stress syllable 1 of 2. Keep the final /t/ audible.,general academic and professional,C1,v0017-s1
v0018,advocate,,academic/professional word,AWL-derived core,to publicly recommend or support something,verb,advocate + noun; advocate for + noun,"Several teachers advocated a later start time for the school day, which gave the teacher clearer information for the following lesson.",advocate a policy; advocate for students,Do not use advocate as a noun without changing its form; also check the required preposition or object.,"advocate means to publicly recommend or support something. By contrast, publish means to make written research or information publicly available.",academic and professional; also useful in formal explanations,"IPA (stress shown separately): /ædvəkət/ Stress syllable 1 of 3. For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. Keep the final /t/ audible.",policy and society,C1,v0018-s1
v0019,affect,,academic/professional word,AWL-derived core,to influence or cause something to change,verb,affect + noun,"Frequent absences can affect a student’s progress, so the class could connect the idea to the next activity.",affect an outcome; negatively affect,Do not confuse the verb affect with the noun effect.,"affect means to influence or cause something to change. By contrast, generate means to produce or cause something to exist.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əfɛkt/ Stress syllable 2 of 2. Keep the final /t/ audible.,cause and effect,C1,v0019-s1
v0020,aggregate,,academic/professional word,AWL-derived core,the total of all the parts,noun,the aggregate of + plural noun,"The aggregate represents the total of all individual values, which gave the people involved a clearer basis for the next step.",aggregate total; in the aggregate,Check whether aggregate is countable in this meaning before adding “a” or a plural ending.,"aggregate means the total of all the parts. By contrast, sum means the total number or amount of things added together.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /æɡrəɡət/ Stress syllable 1 of 3. Keep the final /t/ audible.,general academic and professional,B2,v0020-s1
v0021,aid,,academic/professional word,AWL-derived core,to help or support,verb,aid + noun; aid in + gerund,"The diagram aided students’ understanding of the process, so the class could connect the idea to the next activity.",aid understanding; aid in recovery,Do not use aid as a noun without changing its form; also check the required preposition or object.,"aid means to help or support. By contrast, devote means to give time, effort, or space to a particular purpose.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /eɪd/ Stress syllable 1 of 1. Keep the final /d/ audible.,general academic and professional,B2,v0021-s1
v0022,albeit,,academic/professional word,AWL-derived core,"although, even though",conjunction,"clause/phrase, albeit + adjective/noun phrase","The intervention produced a positive, albeit modest, improvement, which gave the people involved a clearer basis for the next step.",albeit small; albeit with limitations,Use this connector to join compatible ideas; do not treat it as a standalone noun.,"albeit means although, even though. By contrast, although means introduces a full contrasting clause.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɔlbiɪt/ Stress syllable 2 of 3. For /b/, close both lips completely. Keep short /ɪ/ distinct from long /i/. Keep the final /t/ audible.",general academic and professional,C1,v0022-s1
v0023,allocation,,academic/professional word,AWL-derived core,a share of something for a specific purpose,noun,allocation of + resource; allocation for + purpose,"The budget includes an allocation for new laboratory equipment, so decision makers could see how the available resources would support the stated goal.",resource allocation; budget allocation,Check whether allocation is countable in this meaning before adding “a” or a plural ending.,"allocation means a share of something for a specific purpose. By contrast, fund means money available for a specific purpose.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /æləkeɪʃən/ Stress syllable 3 of 4. Use a clear /ʃ/ “sh” sound. Keep the final /n/ audible.,general academic and professional,C1,v0023-s1
v0024,alter,,academic/professional word,AWL-derived core,to change the form or character of something,verb,alter + noun,The researchers altered one variable while keeping the others constant.,alter a plan; significantly alter,Do not use alter as a noun without changing its form; also check the required preposition or object.,"alter means to change the form or character of something. By contrast, convert means to change something into a different form or format.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɔltɚ/ Stress syllable 1 of 2.,change and trends,C1,v0024-s1
v0025,alternative,,academic/professional word,AWL-derived core,"something different, or a choice of something else",noun,an alternative to + noun,"The committee considered a less expensive alternative, so the group could make the next decision with clearer information.",viable alternative; alternative to,Check whether alternative is countable in this meaning before adding “a” or a plural ending.,"alternative means something different, or a choice of something else. By contrast, transformation means a complete change or the process of change.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɔltɝnətɪv/ Stress syllable 2 of 4. For /v/, touch the upper teeth to the lower lip; do not replace it with /b/. Keep /ɪ/ short and relaxed, as in sit. Keep the final /v/ audible.",change and trends,B2,v0025-s1
v0026,ambiguous,,academic/professional word,AWL-derived core,"not clear, or having two or more possible interpretations",adjective,ambiguous + noun; be ambiguous,"The survey question was ambiguous, so participants interpreted it differently.",ambiguous wording; remain ambiguous,Use ambiguous before a noun or after a linking verb; do not use it as an adverb without the correct form.,"ambiguous means not clear, or having two or more possible interpretations. By contrast, evidence-based means supported by reliable research or data.",academic and professional; also useful in formal explanations,"IPA (stress shown separately): /æmbɪɡjuəs/ Stress syllable 2 of 4. For /b/, close both lips completely. Keep /ɪ/ short and relaxed, as in sit. Keep the final /s/ audible.",evidence,B2,v0026-s1
v0027,amendment,,academic/professional word,AWL-derived core,a change made to the words of a text,noun,amendment to + document/law,"The board approved an amendment to the original policy, so the people affected could understand the practical consequence.",constitutional amendment; proposed amendment,Check whether amendment is countable in this meaning before adding “a” or a plural ending.,"amendment means a change made to the words of a text. By contrast, revision means a change of the words of a text.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əmɛndmənt/ Stress syllable 2 of 3. Keep the final /t/ audible.,change and trends,C1,v0027-s1
v0028,analogous,,academic/professional word,AWL-derived core,similar or comparable in some ways,adjective,be analogous to + noun,"The flow of current is analogous to the movement of water through a pipe, which gave the people involved a clearer basis for the next step.",analogous situation; analogous to,Use analogous before a noun or after a linking verb; do not use it as an adverb without the correct form.,"analogous means similar or comparable in some ways. By contrast, similar means almost but not exactly the same.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ənæləɡəs/ Stress syllable 2 of 4. Keep the final /s/ audible.,general academic and professional,C1,v0028-s1
v0029,analysis,,academic/professional word,AWL-derived core,a detailed investigation of the parts of something,noun,analysis of + data/topic,A careful analysis revealed that the apparent improvement was not significant.,conduct an analysis; detailed analysis,Check whether analysis is countable in this meaning before adding “a” or a plural ending.,"analysis means a detailed investigation of the parts of something. By contrast, research means a detailed study of a subject.",academic and professional; also useful in formal explanations,IPA (stress shown separately): /ənæləsəs/ Stress syllable 2 of 4. Keep the final /s/ audible.,evidence,C1,v0029-s1
v0030,annual,,academic/professional word,AWL-derived core,happening once a year,adjective,annual + noun,"The annual report summarizes enrollment, staffing, and student outcomes.",annual report; annual meeting,Use annual before a noun or after a linking verb; do not use it as an adverb without the correct form.,"annual means happening once a year. By contrast, forthcoming means happening soon.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ænjuəl/ Stress syllable 1 of 3. Keep the final /l/ audible.,general academic and professional,B2,v0030-s1
v0031,anticipate,anticipated,academic/professional word,AWL-derived core,to expect something and prepare for it in advance,verb,anticipate + noun; anticipate that + clause,"The team anticipated several technical problems before the launch, so the group could make the next decision with clearer information.",anticipate a problem; anticipate that,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"anticipate means to expect something and prepare for it in advance. By contrast, identify means to recognize and name something.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /æntɪsəpeɪt/ Stress syllable 2 of 4. Keep /ɪ/ short and relaxed, as in sit. Keep the final /t/ audible.",general academic and professional,B2,v0031-s1
v0032,apparent,,academic/professional word,AWL-derived core,"able to be understood, or seeming to exist",adjective,apparent + noun; it is apparent that + clause,The apparent improvement disappeared after the researchers controlled for prior achievement.,apparent difference; become apparent,Use apparent before a noun or after a linking verb; do not use it as an adverb without the correct form.,"apparent means able to be understood, or seeming to exist. By contrast, visible means able to be seen.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əpɛrənt/ Stress syllable 2 of 3. Keep the final /t/ audible.,general academic and professional,C1,v0032-s1
v0033,appendix,,academic/professional word,AWL-derived core,supplementary material at the end of a book,noun,appendix to + document,"Although the article summarized the survey questions in the methods section, the full questionnaire appears in the appendix.",appendix to a report; see the appendix,Check whether appendix is countable in this meaning before adding “a” or a plural ending.,"appendix means supplementary material at the end of a book. By contrast, chapter means a part of a book or period of time.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /əpɛndɪks/ Stress syllable 2 of 3. Keep /ɪ/ short and relaxed, as in sit. Keep the final /s/ audible.",general academic and professional,C1,v0033-s1
v0034,appreciation,,academic/professional word,AWL-derived core,"recognition of value, or expression of thanks",noun,appreciation of/for + noun,"The course increased students’ appreciation of scientific reasoning, which gave the teacher clearer information for the following lesson.",show appreciation; appreciation of,Check whether appreciation is countable in this meaning before adding “a” or a plural ending.,"appreciation means recognition of value, or expression of thanks. By contrast, clarity means clearness of expression, thought, sound or image.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əpriʃieɪʃən/ Stress syllable 4 of 5. Use a clear /ʃ/ “sh” sound. Keep the final /n/ audible.,communication,C1,v0034-s1
v0035,approach,,academic/professional word,AWL-derived core,a way of considering or doing something,noun,approach to + noun/gerund,The teacher used a different approach when the first explanation failed.,practical approach; adopt an approach,Check whether approach is countable in this meaning before adding “a” or a plural ending.,"approach means a way of considering or doing something. By contrast, innovation means invention or new idea or way of doing something.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əproʊtʃ/ Stress syllable 2 of 2. Use a crisp /tʃ/ “ch” sound. Keep the final /tʃ/ audible.,general academic and professional,B2,v0035-s1
v0036,appropriate,,academic/professional word,AWL-derived core,suitable or right for a particular purpose or situation,adjective,appropriate + noun; be appropriate for + noun,"The teacher selected an appropriate example for the students’ grade level, so the class could connect the idea to the next activity.",appropriate response; appropriate for,Use appropriate before a noun or after a linking verb; do not use it as an adverb without the correct form.,"appropriate means suitable or right for a particular purpose or situation. By contrast, qualitative means relating to quality.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əproʊpriət/ Stress syllable 2 of 4. Keep the final /t/ audible.,evaluation and decisions,B2,v0036-s1
v0037,approximate,approximated,academic/professional word,AWL-derived core,to estimate a number or amount rather than calculate it exactly,verb,approximate + noun,"The students approximated the area before calculating the exact value, so the class could connect the idea to the next activity.",approximate a value; closely approximate,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"approximate means to estimate a number or amount rather than calculate it exactly. By contrast, specify means to state something clearly and exactly.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əprɑksəmət/ Stress syllable 2 of 4. Keep the final /t/ audible.,general academic and professional,C1,v0037-s1
v0038,arbitrary,,academic/professional word,AWL-derived core,based on chance rather than reason,adjective,arbitrary + noun; be arbitrary,The cutoff score seemed arbitrary because the report offered no rationale for it.,arbitrary decision; arbitrary rule,Use arbitrary before a noun or after a linking verb; do not use it as an adverb without the correct form.,"arbitrary means based on chance rather than reason. By contrast, rational means logical or based on reason.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ɑrbətrɛri/ Stress syllable 1 of 4. For /b/, close both lips completely.",general academic and professional,C1,v0038-s1
v0039,area,,academic/professional word,AWL-derived core,"a subject or specialization, or part of it",noun,area of + study/work,"Data literacy is an important area of professional development, so the team could interpret the evidence with less uncertainty.",subject area; area of expertise,Check whether area is countable in this meaning before adding “a” or a plural ending.,"area means a subject or specialization, or part of it. By contrast, expert means a person with great skill or knowledge of a subject.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɛriə/ Stress syllable 1 of 3.,general academic and professional,C1,v0039-s1
v0040,aspect,aspects,academic/professional word,AWL-derived core,"the parts of a problem, situation or task",noun,aspect of + noun,"The report examines the financial and educational aspects of the proposal, so the group could make the next decision with clearer information.",key aspect; various aspect,Check whether aspect is countable in this meaning before adding “a” or a plural ending.,"aspect means the parts of a problem, situation or task. By contrast, dimension means one measurable aspect or important part of something.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /æspɛkt/ Stress syllable 1 of 2. Keep the final /t/ audible.,general academic and professional,B2,v0040-s1
v0041,assembly,,academic/professional word,AWL-derived core,"a meeting of a group of people, especially at a school",noun,assembly of + people/parts,"The principal announced the new policy during the school assembly, so the class could connect the idea to the next activity.",school assembly; assembly process,Check whether assembly is countable in this meaning before adding “a” or a plural ending.,"assembly means a meeting of a group of people, especially at a school. By contrast, team means organized group of people who work cooperatively.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /əsɛmbli/ Stress syllable 2 of 3. For /b/, close both lips completely.",workplace and leadership,B2,v0041-s1
v0042,assessment,,academic/professional word,AWL-derived core,when you decide the value or quality of something,noun,assessment of + skill/program,"The formative assessment helped the teacher identify misconceptions, which gave the teacher clearer information for the following lesson.",conduct an assessment; formative assessment,Check whether assessment is countable in this meaning before adding “a” or a plural ending.,"assessment means when you decide the value or quality of something. By contrast, risk assessment means a systematic evaluation of possible dangers and their likelihood.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əsɛsmənt/ Stress syllable 2 of 3. Keep the final /t/ audible.,education,C1,v0042-s1
v0043,assign,assigned,academic/professional word,AWL-derived core,to give a person a particular task or role,verb,assign + noun + to + person; be assign + noun,"Each student was assigned a specific role in the investigation, so the class could connect the idea to the next activity.",assign a task; be assign to,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"assign means to give a person a particular task or role. By contrast, credit means to recognize a person's contribution to a task.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /əsaɪn/ Stress syllable 2 of 2. Let /aɪ/ glide smoothly, as in my. Keep the final /n/ audible.",general academic and professional,C1,v0043-s1
v0044,assistance,,academic/professional word,AWL-derived core,an act of helping to complete a task,noun,assistance with + task; assistance to + person,"Students may request technical assistance through the help desk, which gave the teacher clearer information for the following lesson.",financial assistance; provide assistance,Check whether assistance is countable in this meaning before adding “a” or a plural ending.,"assistance means an act of helping to complete a task. By contrast, status means the current condition or position of a person, task, or system.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /əsɪstəns/ Stress syllable 2 of 3. Keep /ɪ/ short and relaxed, as in sit. Keep the final /s/ audible.",general academic and professional,C1,v0044-s1
v0045,assume,,academic/professional word,AWL-derived core,accept something to be true without questioning it,verb,assume + noun; assume that + clause,"We should not assume that correlation proves causation, so the reader could understand the intended relationship without guessing.",assume that; wrongly assume,Do not use assume as a noun without changing its form; also check the required preposition or object.,"assume means accept something to be true without questioning it. By contrast, deny means to refuse, not admit, or say that something is not true.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əsum/ Stress syllable 2 of 2. Keep the final /m/ audible.,general academic and professional,B2,v0045-s1
v0046,assurance,,academic/professional word,AWL-derived core,promise or confidence,noun,assurance that + clause; assurance of + noun,The vendor gave assurance that the data would remain confidential.,quality assurance; give assurance,Check whether assurance is countable in this meaning before adding “a” or a plural ending.,"assurance means promise or confidence. By contrast, interval means a short period of time between one event and the next.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əʃʊrəns/ Stress syllable 2 of 3. Use a clear /ʃ/ “sh” sound. Keep the final /s/ audible.,general academic and professional,B2,v0046-s1
v0047,attach,attached,academic/professional word,AWL-derived core,to add a file or connect one thing to another,verb,attach + noun + to + noun,"I attached the revised schedule to the email, so the group could make the next decision with clearer information.",attach a file; attach to,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"attach means to add a file or connect one thing to another. By contrast, file means to store in order or record officially.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ətætʃ/ Stress syllable 2 of 2. Use a crisp /tʃ/ “ch” sound. Keep the final /tʃ/ audible.,general academic and professional,C1,v0047-s1
v0048,attain,attained,academic/professional word,AWL-derived core,to achieve something after effort,verb,attain + noun,"The class attained its performance target by the end of the semester, so the class could connect the idea to the next activity.",attain a goal; attain proficiency,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"attain means to achieve something after effort. By contrast, achieve means to succeed in reaching a target or aim.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /əteɪn/ Stress syllable 2 of 2. Keep the final /n/ audible.,general academic and professional,C1,v0048-s1
v0049,attitude,attitudes,academic/professional word,AWL-derived core,feelings or opinions about someone or something,noun,attitude toward + noun,"The survey measured students’ attitudes toward mathematics, which gave the teacher clearer information for the following lesson.",positive attitude; changing attitude,Check whether attitude is countable in this meaning before adding “a” or a plural ending.,"attitude means feelings or opinions about someone or something. By contrast, presumption means an attitude based on probability rather than proof.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ætətud/ Stress syllable 1 of 3. Keep the final /d/ audible.,general academic and professional,C1,v0049-s1
v0050,attribute,attributed,academic/professional word,AWL-derived core,to identify something as the cause of a result,verb,attribute + noun + to + noun,"The report attributed the decline to transportation problems, so the audience could understand the intended point without guessing.",attribute X to Y; largely attribute to,This is an inflected verb form. Do not put “to” directly before it; use the base form after “to.”,"attribute means to identify something as the cause of a result. By contrast, troubleshoot means to identify and solve the cause of a technical or practical problem.",professional and academic; often useful in careful speech and writing,"IPA (stress shown separately): /ətrɪbjut/ Stress syllable 2 of 3. For /b/, close both lips completely. Keep /ɪ/ short and relaxed, as in sit. Keep the final /t/ audible.",cause and effect,B2,v0050-s1
v0051,author,,academic/professional word,AWL-derived core,writer,noun,author of + book/article,"The author supports the claim with evidence from three studies, so the team could interpret the evidence with less uncertainty.",article author; lead author,Check whether author is countable in this meaning before adding “a” or a plural ending.,"author means writer. By contrast, communication means the way living things send messages to each other.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɔθɚ/ Stress syllable 1 of 2.,communication,B2,v0051-s1
v0052,authority,,academic/professional word,AWL-derived core,an expert on a subject,noun,authority over + group; authority on + topic,"She is a recognized authority on bilingual education, so the people affected could understand the practical consequence.",legal authority; an authority on,Check whether authority is countable in this meaning before adding “a” or a plural ending.,"authority means an expert on a subject. By contrast, regulation means rules issued by an authority.",academic and professional; also useful in formal explanations,IPA (stress shown separately): /əθɔrəti/ Stress syllable 2 of 4.,policy and society,C1,v0052-s1
v0053,automatically,,academic/professional word,AWL-derived core,"without need for help, or without thinking",adverb,automatically + verb,"The system automatically saves a backup every five minutes, so the reader could understand the intended relationship without guessing.",automatically generated; automatically update,Check sentence position and punctuation; many sentence adverbs take a comma when they introduce a clause.,"automatically means without need for help, or without thinking. By contrast, hence means therefore, this is the reason why.",professional and academic; often useful in careful speech and writing,IPA (stress shown separately): /ɔtəmætɪkli/ Stress syllable 3 of 5. Keep short /ɪ/ distinct from long /i/.,general academic and professional,C1,v0053-s1
